projectName,SingleLineComments,TotalNoOfOperands,NoOfUniqueOperands,HalsteadProgramEffort,ES2016Compliant,HalsteadProgramVolume,LargestSignatureInFunction,NoOfObjects,HighestCyclomaticComplexity,ES2017Compliant,LongestCallingChain,AvgCallingChain,AvgFanIn,TotalNoOfOperators,Sloc,MultiLineComments,LargestCognitiveComplexity,NoofStatementsInLargestFunction,HighestFanIn,ES2015Compliant,HalsteadDifficulty,AvgNoOfStatementsInFunction,NoOfPropertiesInLargestObject,AvgCyclomaticComplexity,ES2018Compliant,HalsteadProgramLength,NoOfUniqueOperators,AvgFanOut,MaintainabilityIndex,HighestFanOut,AvgCognitiveComplexity,NoOfFunctionsDeclarations,AvgNoOfPropertiesPerObject,Lloc
chai,251,477,231,384462.06,false,17733.49,6,74,558,false,0,0,20,1746,3414,371,2098,67,132,false,21.68,0,38,2,false,2223,21,1,93.1737898413,9,14,390,2,2595
mocha,1248,1518,707,2927345.73,true,73699.54,9,275,370,false,0,0,35,6208,11265,1002,1208,54,71,false,39.72,0,2125,2,false,7726,37,0,84.3230831629,5,12,1209,16,13125
function,0,1,1,0,false,0,0,0,1,false,0,0,0,0,1,0,0,0,0,false,0,0,0,1,false,1,0,0,171,0,0,0,0,1
lodash,128,1177,603,1314159.63,true,40799.74,10,51,1286,false,0,0,80,3204,6036,705,3156,269,206,false,32.21,0,190,3,false,4381,33,0,88.8769849934,6,8,687,4,5449
"chai-4.2.0","251","477.0","231.0","384462.06","false","17733.49","6","74","252.0","false","0.0","0.0","20.0","1746.0","3414","371","761.0","67","132","false","21.68","0","38","2.0","false","2223.0","21.0","1.0","93.17378984131426","9","10.0","390","2","2595"
"mocha-6.0.2","1248","1518.0","707.0","2927345.73","true","73699.54","9","275","1610.0","false","0.0","0.0","35.0","6208.0","11265","1002","5553.0","54","71","false","39.72","0","2125","2.0","false","7726.0","37.0","0.0","84.32308316293437","5","16.0","1209","16","13125"
"grunt-1.0.3","36","16.0","16.0","575.28","false","191.76","3","5","9.0","false","0.0","0.0","0.0","27.0","94","0","18.0","31","0","false","3.0","1","2","1.0","false","43.0","6.0","0.0","110.42048605519008","1","2.0","8","1","91"
"lodash-4.17.11","128","1177.0","603.0","1314159.63","true","40799.74","10","51","1286.0","false","0.0","0.0","80.0","3204.0","6036","705","3156.0","269","206","false","32.21","0","190","3.0","false","4381.0","33.0","0.0","88.87698499343401","6","8.0","687","4","5449"
"gulp-4.0.0","2","6.0","6.0","337.3","false","134.92","3","2","8.0","false","0.0","0.0","0.0","33.0","40","0","3.0","10","0","false","2.5","0","0","1.0","false","39.0","5.0","0.0","102.56141039055414","0","1.0","2","0","31"
"eslint-5.15.1","12","11.0","11.0","394.07","false","112.59","1","1","3.0","false","0.0","0.0","0.0","16.0","39","3","2.0","8","0","true","3.5","0","0","1.0","false","27.0","7.0","0.0","109.00809273908047","0","0.0","3","0","32"
